system:index,NDVI,valid_observation_mean,year,.geo
0,0.5249785220063659,11.301856753289414,2000.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,0.5189612986353612,19.51799798954149,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,0.5135209718815448,12.031381364383316,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,0.5193728347759972,13.768322918700997,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,0.517646473672462,17.879580797387995,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,0.4948003921414364,11.141669733281903,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,0.501699261336849,15.01822793939819,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,0.494150155035709,12.158108214196245,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,0.5027723059911208,15.414687542137157,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,0.5141349335292756,14.820035490754279,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,0.5123699866723836,11.193551795181849,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,0.5215836315798158,8.18923446310511,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,0.5048322081032113,5.611952445485062,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,0.5453051501306092,12.204730538286169,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,0.542537485924705,16.624212798444976,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,0.5395775723132594,17.83104149860348,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,0.5498529395618693,15.166908271622113,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,0.5415837258183728,15.693695062969697,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,0.5506363032762339,15.370052705934908,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,0.5550728791258974,15.87451913044262,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,0.5704980621394512,15.25064173829471,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,0.5611395112324465,17.298017801968307,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,0.589788882431559,26.157807756463274,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,0.5675358406727977,25.64497340578241,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,0.5603166061225576,14.907136603315152,2024.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,0.5418687448557074,9.205862142184747,2025.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,0.6065291697722535,5.045862071876935,2026.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
